-0.742424 0.393939 0
-0.439394 0.757576 0
0.393939 -0.363636 1
-0.212121 -0.515152 1
-0.893939 0.212121 0
-0.969697 0.636364 0
0.545455 -0.787879 1
0.621212 -0.909091 1
-0.666667 0.0909091 0
-0.712121 0.454545 0
0.469697 -0.666667 1
0.469697 -0.484848 1
-0.287879 0.272727 0
-0.439394 0.909091 0
0.848485 -0.575758 1
0.772727 -0.30303 1
-0.212121 0.484848 0
-0.590909 0.30303 0
0.772727 -0.272727 1
0.69697 -0.818182 1
-0.19697 0.606061 0
-0.0606061 0.848485 0
0.621212 -0.454545 1
-0.189394 -0.454545 1
-0.136364 0.515152 0
-0.212121 0.393939 0
1 -0.454545 1
0.545455 -0.333333 1
-0.818182 1 0
-0.909091 0.69697 0
-0.136364 0.151515 1
-1 -0.0606061 1
-0.166667 0.151515 0
-0.439394 0.378788 0
0.848485 -1 1
0.727273 -0.909091 1
-0.590909 0.333333 0
-0.666667 0.151515 0
0.469697 -0.333333 1
0.386364 -0.454545 1
-0.681818 0.227273 0
-0.757576 0.0757576 0
0.507576 -0.681818 1
0.590909 -0.636364 1
-0.893939 0.787879 0
-0.742424 0.878788 0
0.848485 -0.818182 1
0.318182 -0.666667 1
-0.363636 0.424242 0
